*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
780.000000	0.00174935	780.000000	0.00180776	780.000000	0.00177695	780.000000	0.00177312	780.000000	0.00180744	780.000000	3.21298e-07	
800.000000	0.00173596	800.000000	0.00179511	800.000000	0.00176477	800.000000	0.00176092	800.000000	0.0017948 	800.000000	3.13838e-07	
820.000000	0.00172334	820.000000	0.00178319	820.000000	0.00175338	820.000000	0.00174948	820.000000	0.00178289	820.000000	3.06727e-07	
840.000000	0.00171144	840.000000	0.00177196	840.000000	0.00174288	840.000000	0.00173895	840.000000	0.00177166	840.000000	2.99943e-07	
860.000000	0.00170022	860.000000	0.00176136	860.000000	0.00173293	860.000000	0.00172901	860.000000	0.00176107	860.000000	2.93462e-07	
880.000000	0.00168962	880.000000	0.00175136	880.000000	0.0017235 	880.000000	0.00171962	880.000000	0.00175107	880.000000	2.87264e-07	
900.000000	0.00167962	900.000000	0.00174192	900.000000	0.00171458	900.000000	0.00171074	900.000000	0.00174163	900.000000	2.81332e-07	
920.000000	0.00167017	920.000000	0.00173299	920.000000	0.00170615	920.000000	0.00170235	920.000000	0.00173272	920.000000	2.75647e-07	
940.000000	0.00166124	940.000000	0.00172456	940.000000	0.00169817	940.000000	0.00169439	940.000000	0.00172429	940.000000	2.70196e-07	
960.000000	0.0016528 	960.000000	0.00171658	960.000000	0.00169061	960.000000	0.00168686	960.000000	0.00171631	960.000000	2.64963e-07	
980.000000	0.00164482	980.000000	0.00170903	980.000000	0.00168345	980.000000	0.00167972	980.000000	0.00170877	980.000000	2.59936e-07	
1000.000000	0.00163728	1000.000000	0.00170189	1000.000000	0.00167666	1000.000000	0.00167295	1000.000000	0.00170164	1000.000000	2.55102e-07	
1020.000000	0.00163014	1020.000000	0.00169514	1020.000000	0.0016702 	1020.000000	0.00166652	1020.000000	0.00169489	1020.000000	2.50451e-07	
1040.000000	0.0016234 	1040.000000	0.00168874	1040.000000	0.00166407	1040.000000	0.00166041	1040.000000	0.00168849	1040.000000	2.45972e-07	
1060.000000	0.00161703	1060.000000	0.00168268	1060.000000	0.00165824	1060.000000	0.00165462	1060.000000	0.00168244	1060.000000	2.41656e-07	
1080.000000	0.00161101	1080.000000	0.00167695	1080.000000	0.0016527 	1080.000000	0.00164911	1080.000000	0.00167671	1080.000000	2.37493e-07	
1100.000000	0.00160531	1100.000000	0.00167152	1100.000000	0.00164746	1100.000000	0.00164387	1100.000000	0.00167129	1100.000000	2.33477e-07	
1120.000000	0.00159994	1120.000000	0.00166638	1120.000000	0.00164248	1120.000000	0.00163889	1120.000000	0.00166615	1120.000000	2.29598e-07	
1140.000000	0.00159486	1140.000000	0.00166152	1140.000000	0.00163776	1140.000000	0.00163415	1140.000000	0.00166129	1140.000000	2.25851e-07	
1160.000000	0.00159007	1160.000000	0.00165691	1160.000000	0.00163328	1160.000000	0.00162964	1160.000000	0.00165669	1160.000000	2.22228e-07	
1180.000000	0.00158554	1180.000000	0.00165256	1180.000000	0.00162901	1180.000000	0.00162534	1180.000000	0.00165234	1180.000000	2.18723e-07	
1200.000000	0.00158128	1200.000000	0.00164844	1200.000000	0.00162494	1200.000000	0.00162125	1200.000000	0.00164822	1200.000000	2.15331e-07	
1220.000000	0.00157727	1220.000000	0.00164454	1220.000000	0.00162105	1220.000000	0.00161736	1220.000000	0.00164433	1220.000000	2.12045e-07	
1240.000000	0.00157348	1240.000000	0.00164085	1240.000000	0.00161733	1240.000000	0.00161365	1240.000000	0.00164064	1240.000000	2.08862e-07	
1260.000000	0.00156993	1260.000000	0.00163737	1260.000000	0.00161378	1260.000000	0.00161012	1260.000000	0.00163717	1260.000000	2.05777e-07	
1280.000000	0.00156659	1280.000000	0.00163408	1280.000000	0.00161039	1280.000000	0.00160675	1280.000000	0.00163388	1280.000000	2.02784e-07	
1300.000000	0.00156345	1300.000000	0.00163098	1300.000000	0.00160716	1300.000000	0.00160354	1300.000000	0.00163078	1300.000000	1.99879e-07	
