*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
480.000000	0.805959  	480.000000	0.731121  	480.000000	0.736329  	480.000000	0.720403  	480.000000	0.730958  	480.000000	0.000162079
490.000000	0.798623  	490.000000	0.725023  	490.000000	0.730094  	490.000000	0.71423   	490.000000	0.724864  	490.000000	0.000159044
500.000000	0.791583  	500.000000	0.719178  	500.000000	0.724123  	500.000000	0.708317  	500.000000	0.719022  	500.000000	0.000156126
520.000000	0.778328  	520.000000	0.708192  	520.000000	0.712975  	520.000000	0.697212  	520.000000	0.708041  	520.000000	0.000150611
540.000000	0.766077  	540.000000	0.698058  	540.000000	0.702682  	540.000000	0.686981  	540.000000	0.697913  	540.000000	0.000145487
560.000000	0.754727  	560.000000	0.688689  	560.000000	0.693121  	560.000000	0.677532  	560.000000	0.688548  	560.000000	0.000140712
580.000000	0.74419   	580.000000	0.680006  	580.000000	0.684278  	580.000000	0.668787  	580.000000	0.67987   	580.000000	0.000136253
600.000000	0.734389  	600.000000	0.671944  	600.000000	0.67612   	600.000000	0.660674  	600.000000	0.671812  	600.000000	0.000132079
620.000000	0.725256  	620.000000	0.664444  	620.000000	0.66855   	620.000000	0.653135  	620.000000	0.664316  	620.000000	0.000128161
640.000000	0.716732  	640.000000	0.657455  	640.000000	0.661461  	640.000000	0.646116  	640.000000	0.657331  	640.000000	0.000124479
660.000000	0.708765  	660.000000	0.650932  	660.000000	0.654833  	660.000000	0.63957   	660.000000	0.650811  	660.000000	0.000121009
680.000000	0.701308  	680.000000	0.644834  	680.000000	0.648648  	680.000000	0.633455  	680.000000	0.644716  	680.000000	0.000117735
700.000000	0.694319  	700.000000	0.639126  	700.000000	0.642861  	700.000000	0.627735  	700.000000	0.639011  	700.000000	0.000114641
720.000000	0.687763  	720.000000	0.633777  	720.000000	0.637436  	720.000000	0.622377  	720.000000	0.633665  	720.000000	0.00011171
740.000000	0.681604  	740.000000	0.628758  	740.000000	0.632356  	740.000000	0.617352  	740.000000	0.628649  	740.000000	0.000108931
760.000000	0.675815  	760.000000	0.624044  	760.000000	0.6276    	760.000000	0.612632  	760.000000	0.623938  	760.000000	0.000106293
780.000000	0.670368  	780.000000	0.619612  	780.000000	0.623133  	780.000000	0.608196  	780.000000	0.619508  	780.000000	0.000103784
800.000000	0.665239  	800.000000	0.615441  	800.000000	0.618921  	800.000000	0.604021  	800.000000	0.61534   	800.000000	0.000101395
820.000000	0.660405  	820.000000	0.611513  	820.000000	0.614946  	820.000000	0.600087  	820.000000	0.611414  	820.000000	9.91171e-05
840.000000	0.655848  	840.000000	0.607811  	840.000000	0.611192  	840.000000	0.596379  	840.000000	0.607714  	840.000000	9.69435e-05
860.000000	0.651548  	860.000000	0.604319  	860.000000	0.607646  	860.000000	0.592879  	860.000000	0.604224  	860.000000	9.48667e-05
880.000000	0.647489  	880.000000	0.601023  	880.000000	0.604295  	880.000000	0.589573  	880.000000	0.600931  	880.000000	9.28804e-05
900.000000	0.643657  	900.000000	0.597912  	900.000000	0.601127  	900.000000	0.586448  	900.000000	0.597821  	900.000000	9.09785e-05
920.000000	0.640037  	920.000000	0.594972  	920.000000	0.59813   	920.000000	0.583492  	920.000000	0.594883  	920.000000	8.91559e-05
940.000000	0.636616  	940.000000	0.592194  	940.000000	0.595292  	940.000000	0.580694  	940.000000	0.592106  	940.000000	8.74076e-05
960.000000	0.633382  	960.000000	0.589567  	960.000000	0.592604  	960.000000	0.578043  	960.000000	0.589481  	960.000000	8.5729e-05
980.000000	0.630326  	980.000000	0.587082  	980.000000	0.590056  	980.000000	0.575531  	980.000000	0.586998  	980.000000	8.41161e-05
1000.000000	0.627436  	1000.000000	0.584731  	1000.000000	0.587639  	1000.000000	0.573149  	1000.000000	0.584649  	1000.000000	8.2565e-05
1020.000000	0.624705  	1020.000000	0.582507  	1020.000000	0.585345  	1020.000000	0.570889  	1020.000000	0.582426  	1020.000000	8.10722e-05
1040.000000	0.622122  	1040.000000	0.580402  	1040.000000	0.583168  	1040.000000	0.568744  	1040.000000	0.580322  	1040.000000	7.96344e-05
1060.000000	0.61968   	1060.000000	0.578409  	1060.000000	0.581099  	1060.000000	0.566706  	1060.000000	0.578331  	1060.000000	7.82486e-05
1080.000000	0.617373  	1080.000000	0.576523  	1080.000000	0.579133  	1080.000000	0.564771  	1080.000000	0.576446  	1080.000000	7.69119e-05
1100.000000	0.615192  	1100.000000	0.574737  	1100.000000	0.577264  	1100.000000	0.562931  	1100.000000	0.574662  	1100.000000	7.56219e-05
1120.000000	0.613132  	1120.000000	0.573047  	1120.000000	0.575487  	1120.000000	0.561181  	1120.000000	0.572973  	1120.000000	7.4376e-05
1140.000000	0.611187  	1140.000000	0.571448  	1140.000000	0.573796  	1140.000000	0.559517  	1140.000000	0.571375  	1140.000000	7.3172e-05
1160.000000	0.60935   	1160.000000	0.569934  	1160.000000	0.572187  	1160.000000	0.557934  	1160.000000	0.569862  	1160.000000	7.20078e-05
1180.000000	0.607618  	1180.000000	0.568503  	1180.000000	0.570655  	1180.000000	0.556428  	1180.000000	0.568432  	1180.000000	7.08814e-05
1200.000000	0.605985  	1200.000000	0.567148  	1200.000000	0.569196  	1200.000000	0.554993  	1200.000000	0.567079  	1200.000000	6.9791e-05
1220.000000	0.604446  	1220.000000	0.565868  	1220.000000	0.567807  	1220.000000	0.553628  	1220.000000	0.5658    	1220.000000	6.87349e-05
1240.000000	0.602998  	1240.000000	0.564659  	1240.000000	0.566484  	1240.000000	0.552327  	1240.000000	0.564591  	1240.000000	6.77115e-05
1260.000000	0.601635  	1260.000000	0.563516  	1260.000000	0.565224  	1260.000000	0.551089  	1260.000000	0.563449  	1260.000000	6.67191e-05
1280.000000	0.600356  	1280.000000	0.562437  	1280.000000	0.564022  	1280.000000	0.549909  	1280.000000	0.562372  	1280.000000	6.57566e-05
1300.000000	0.599155  	1300.000000	0.56142   	1300.000000	0.562877  	1300.000000	0.548784  	1300.000000	0.561355  	1300.000000	6.48224e-05
1320.000000	0.59803   	1320.000000	0.560461  	1320.000000	0.561785  	1320.000000	0.547713  	1320.000000	0.560397  	1320.000000	6.39154e-05
1340.000000	0.596977  	1340.000000	0.559558  	1340.000000	0.560744  	1340.000000	0.546692  	1340.000000	0.559495  	1340.000000	6.30343e-05
1360.000000	0.595994  	1360.000000	0.558708  	1360.000000	0.559752  	1360.000000	0.545719  	1360.000000	0.558646  	1360.000000	6.21781e-05
1380.000000	0.595077  	1380.000000	0.557909  	1380.000000	0.558806  	1380.000000	0.544792  	1380.000000	0.557848  	1380.000000	6.13457e-05
1400.000000	0.594225  	1400.000000	0.557159  	1400.000000	0.557905  	1400.000000	0.543909  	1400.000000	0.557099  	1400.000000	6.0536e-05
1420.000000	0.593434  	1420.000000	0.556457  	1420.000000	0.557046  	1420.000000	0.543067  	1420.000000	0.556397  	1420.000000	5.97483e-05
1440.000000	0.592702  	1440.000000	0.555799  	1440.000000	0.556229  	1440.000000	0.542265  	1440.000000	0.55574   	1440.000000	5.89816e-05
1460.000000	0.592027  	1460.000000	0.555184  	1460.000000	0.55545   	1460.000000	0.541501  	1460.000000	0.555126  	1460.000000	5.82349e-05
1480.000000	0.591407  	1480.000000	0.554611  	1480.000000	0.554708  	1480.000000	0.540772  	1480.000000	0.554554  	1480.000000	5.75077e-05
1500.000000	0.59084   	1500.000000	0.554078  	1500.000000	0.554001  	1500.000000	0.540079  	1500.000000	0.554021  	1500.000000	5.67991e-05
