*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
880.000000	0.00328287	880.000000	0.00249609	880.000000	0.00249191	880.000000	0.00248563	880.000000	0.00249574	880.000000	3.47994e-07
900.000000	0.00326343	900.000000	0.00248353	900.000000	0.00247989	900.000000	0.00247368	900.000000	0.00248319	900.000000	3.4087e-07
920.000000	0.00324507	920.000000	0.00247167	920.000000	0.00246856	920.000000	0.0024624 	920.000000	0.00247134	920.000000	3.34043e-07
940.000000	0.00322772	940.000000	0.00246046	940.000000	0.00245787	940.000000	0.00245176	940.000000	0.00246014	940.000000	3.27495e-07
960.000000	0.00321132	960.000000	0.00244987	960.000000	0.00244778	960.000000	0.0024417 	960.000000	0.00244955	960.000000	3.21207e-07
980.000000	0.00319582	980.000000	0.00243985	980.000000	0.00243824	980.000000	0.0024322 	980.000000	0.00243954	980.000000	3.15166e-07
1000.000000	0.00318116	1000.000000	0.00243038	1000.000000	0.00242922	1000.000000	0.00242321	1000.000000	0.00243007	1000.000000	3.09356e-07
1020.000000	0.00316731	1020.000000	0.00242142	1020.000000	0.00242068	1020.000000	0.00241471	1020.000000	0.00242112	1020.000000	3.03764e-07
1040.000000	0.00315421	1040.000000	0.00241294	1040.000000	0.00241259	1040.000000	0.00240667	1040.000000	0.00241264	1040.000000	2.98378e-07
1060.000000	0.00314182	1060.000000	0.00240492	1060.000000	0.00240493	1060.000000	0.00239906	1060.000000	0.00240463	1060.000000	2.93187e-07
1080.000000	0.00313012	1080.000000	0.00239733	1080.000000	0.00239769	1080.000000	0.00239186	1080.000000	0.00239704	1080.000000	2.8818e-07
1100.000000	0.00311906	1100.000000	0.00239015	1100.000000	0.00239085	1100.000000	0.00238503	1100.000000	0.00238987	1100.000000	2.83348e-07
1120.000000	0.00310861	1120.000000	0.00238336	1120.000000	0.00238439	1120.000000	0.00237857	1120.000000	0.00238308	1120.000000	2.78681e-07
1140.000000	0.00309875	1140.000000	0.00237693	1140.000000	0.0023783 	1140.000000	0.00237245	1140.000000	0.00237666	1140.000000	2.74171e-07
1160.000000	0.00308944	1160.000000	0.00237086	1160.000000	0.00237255	1160.000000	0.00236665	1160.000000	0.00237059	1160.000000	2.6981e-07
