*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
540.000000	0.00181524	540.000000	0.00129206	540.000000	0.00128253	540.000000	0.00128093	540.000000	0.00129182	540.000000	2.33955e-07	
560.000000	0.00178832	560.000000	0.00127537	560.000000	0.0012659 	560.000000	0.00126433	560.000000	0.00127514	560.000000	2.26325e-07	
580.000000	0.00176333	580.000000	0.00125991	580.000000	0.00125052	580.000000	0.00124898	580.000000	0.00125969	580.000000	2.19196e-07	
600.000000	0.00174008	600.000000	0.00124555	600.000000	0.00123628	600.000000	0.00123476	600.000000	0.00124534	600.000000	2.1252e-07	
620.000000	0.00171843	620.000000	0.0012322 	620.000000	0.00122306	620.000000	0.00122156	620.000000	0.00123199	620.000000	2.06255e-07	
640.000000	0.00169822	640.000000	0.00121976	640.000000	0.00121077	640.000000	0.00120929	640.000000	0.00121956	640.000000	2.00364e-07	
660.000000	0.00167933	660.000000	0.00120815	660.000000	0.00119931	660.000000	0.00119786	660.000000	0.00120795	660.000000	1.94813e-07	
680.000000	0.00166165	680.000000	0.00119729	680.000000	0.00118862	680.000000	0.0011872 	680.000000	0.0011971 	680.000000	1.89573e-07	
700.000000	0.00164508	700.000000	0.00118714	700.000000	0.00117867	700.000000	0.00117724	700.000000	0.00118695	700.000000	1.84619e-07	
720.000000	0.00162953	720.000000	0.00117762	720.000000	0.00116942	720.000000	0.00116793	720.000000	0.00117744	720.000000	1.79927e-07	
740.000000	0.00161493	740.000000	0.00116869	740.000000	0.00116075	740.000000	0.00115921	740.000000	0.00116852	740.000000	1.75478e-07	
760.000000	0.00160121	760.000000	0.00116031	760.000000	0.00115257	760.000000	0.00115103	760.000000	0.00116014	760.000000	1.71252e-07	
780.000000	0.0015883 	780.000000	0.00115243	780.000000	0.00114488	780.000000	0.00114336	780.000000	0.00115227	780.000000	1.67233e-07	
800.000000	0.00157614	800.000000	0.00114502	800.000000	0.00113765	800.000000	0.00113616	800.000000	0.00114486	800.000000	1.63405e-07	
820.000000	0.00156468	820.000000	0.00113804	820.000000	0.00113086	820.000000	0.00112938	820.000000	0.00113788	820.000000	1.59756e-07	
840.000000	0.00155388	840.000000	0.00113146	840.000000	0.00112448	840.000000	0.00112301	840.000000	0.00113131	840.000000	1.56273e-07	
860.000000	0.00154369	860.000000	0.00112526	860.000000	0.00111846	860.000000	0.001117  	860.000000	0.00112511	860.000000	1.52944e-07	
880.000000	0.00153407	880.000000	0.00111942	880.000000	0.00111279	880.000000	0.00111134	880.000000	0.00111927	880.000000	1.4976e-07	
900.000000	0.00152498	900.000000	0.00111389	900.000000	0.00110744	900.000000	0.00110601	900.000000	0.00111375	900.000000	1.4671e-07	
920.000000	0.0015164 	920.000000	0.00110868	920.000000	0.00110239	920.000000	0.00110097	920.000000	0.00110854	920.000000	1.43788e-07	
940.000000	0.0015083 	940.000000	0.00110376	940.000000	0.00109763	940.000000	0.00109621	940.000000	0.00110361	940.000000	1.40984e-07	
960.000000	0.00150063	960.000000	0.0010991 	960.000000	0.00109312	960.000000	0.00109172	960.000000	0.00109896	960.000000	1.38292e-07	
980.000000	0.00149339	980.000000	0.0010947 	980.000000	0.00108887	980.000000	0.00108747	980.000000	0.00109456	980.000000	1.35704e-07	
1000.000000	0.00148654	1000.000000	0.00109054	1000.000000	0.00108484	1000.000000	0.00108345	1000.000000	0.00109041	1000.000000	1.33216e-07	
1020.000000	0.00148007	1020.000000	0.0010866 	1020.000000	0.00108103	1020.000000	0.00107965	1020.000000	0.00108647	1020.000000	1.3082e-07	
1040.000000	0.00147394	1040.000000	0.00108288	1040.000000	0.00107742	1040.000000	0.00107605	1040.000000	0.00108275	1040.000000	1.28513e-07	
1060.000000	0.00146816	1060.000000	0.00107936	1060.000000	0.001074  	1060.000000	0.00107264	1060.000000	0.00107923	1060.000000	1.26289e-07	
1080.000000	0.00146269	1080.000000	0.00107603	1080.000000	0.00107077	1080.000000	0.00106941	1080.000000	0.0010759 	1080.000000	1.24143e-07	
1100.000000	0.00145752	1100.000000	0.00107288	1100.000000	0.0010677 	1100.000000	0.00106635	1100.000000	0.00107276	1100.000000	1.22073e-07	
1120.000000	0.00145264	1120.000000	0.0010699 	1120.000000	0.00106483	1120.000000	0.00106349	1120.000000	0.00106978	1120.000000	1.20072e-07	
1140.000000	0.00144803	1140.000000	0.00106708	1140.000000	0.00106211	1140.000000	0.00106077	1140.000000	0.00106696	1140.000000	1.18139e-07	
1160.000000	0.00144368	1160.000000	0.00106442	1160.000000	0.00105953	1160.000000	0.0010582 	1160.000000	0.0010643 	1160.000000	1.1627e-07	
1180.000000	0.00143957	1180.000000	0.0010619 	1180.000000	0.00105709	1180.000000	0.00105577	1180.000000	0.00106178	1180.000000	1.14461e-07	
1200.000000	0.0014357 	1200.000000	0.00105952	1200.000000	0.00105478	1200.000000	0.00105346	1200.000000	0.00105941	1200.000000	1.12709e-07	
1220.000000	0.00143205	1220.000000	0.00105727	1220.000000	0.00105258	1220.000000	0.00105127	1220.000000	0.00105716	1220.000000	1.11013e-07	
1240.000000	0.00142862	1240.000000	0.00105515	1240.000000	0.00105049	1240.000000	0.0010492 	1240.000000	0.00105504	1240.000000	1.09369e-07	
1260.000000	0.00142539	1260.000000	0.00105315	1260.000000	0.00104852	1260.000000	0.00104723	1260.000000	0.00105304	1260.000000	1.07775e-07	
1280.000000	0.00142236	1280.000000	0.00105126	1280.000000	0.00104665	1280.000000	0.00104537	1280.000000	0.00105116	1280.000000	1.06228e-07	
1300.000000	0.00141952	1300.000000	0.00104948	1300.000000	0.00104488	1300.000000	0.0010436 	1300.000000	0.00104938	1300.000000	1.04727e-07	
