Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
420.000000	0.016498  	420.000000	0.0190451 	420.000000	0.0189979 	420.000000	0.0188782 	420.000000	0.0190403 	420.000000	4.79518e-06	
430.000000	0.0163139 	430.000000	0.018837  	430.000000	0.0187898 	430.000000	0.0186707 	430.000000	0.0188323 	430.000000	4.6919e-06	
440.000000	0.0161382 	440.000000	0.0186385 	440.000000	0.0185916 	440.000000	0.018473  	440.000000	0.0186339 	440.000000	4.59312e-06	
450.000000	0.0159702 	450.000000	0.0184491 	450.000000	0.0184024 	450.000000	0.0182843 	450.000000	0.0184446 	450.000000	4.49856e-06	
460.000000	0.0158095 	460.000000	0.0182681 	460.000000	0.0182217 	460.000000	0.0181042 	460.000000	0.0182637 	460.000000	4.40795e-06	
470.000000	0.0156556 	470.000000	0.018095  	470.000000	0.0180491 	470.000000	0.0179321 	470.000000	0.0180907 	470.000000	4.32105e-06	
480.000000	0.0155082 	480.000000	0.0179294 	480.000000	0.017884  	480.000000	0.0177675 	480.000000	0.0179251 	480.000000	4.23763e-06	
490.000000	0.0153669 	490.000000	0.0177707 	490.000000	0.0177259 	490.000000	0.0176099 	490.000000	0.0177666 	490.000000	4.15747e-06	
500.000000	0.0152313 	500.000000	0.0176187 	500.000000	0.0175745 	500.000000	0.0174589 	500.000000	0.0176146 	500.000000	4.0804e-06	
520.000000	0.014976  	520.000000	0.0173328 	520.000000	0.0172901 	520.000000	0.0171753 	520.000000	0.0173289 	520.000000	3.93481e-06	
540.000000	0.01474   	540.000000	0.0170691 	540.000000	0.017028  	540.000000	0.0169141 	540.000000	0.0170653 	540.000000	3.79959e-06	
560.000000	0.0145214 	560.000000	0.0168253 	560.000000	0.0167858 	560.000000	0.0166727 	560.000000	0.0168216 	560.000000	3.67365e-06	
580.000000	0.0143185 	580.000000	0.0165993 	580.000000	0.0165616 	580.000000	0.0164492 	580.000000	0.0165958 	580.000000	3.55608e-06	
600.000000	0.0141298 	600.000000	0.0163895 	600.000000	0.0163538 	600.000000	0.0162419 	600.000000	0.016386  	600.000000	3.44604e-06	
620.000000	0.0139539 	620.000000	0.0161942 	620.000000	0.0161602 	620.000000	0.0160491 	620.000000	0.0161909 	620.000000	3.34283e-06	
640.000000	0.0137898 	640.000000	0.0160123 	640.000000	0.0159791 	640.000000	0.0158695 	640.000000	0.016009  	640.000000	3.24583e-06	
660.000000	0.0136364 	660.000000	0.0158424 	660.000000	0.0158101 	660.000000	0.0157019 	660.000000	0.0158392 	660.000000	3.15448e-06	
