*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
55.000000	22769.6   	55.000000	22173.1   	55.000000	22454.6   	55.000000	22463.6   	55.000000	303.629   	55.000000	157.982   	55.000000	272.911   	55.000000	222.541   	55.000000	276.478   	
60.000000	26452.8   	60.000000	25793.2   	60.000000	26088.6   	60.000000	26099.5   	60.000000	352.459   	60.000000	181.821   	60.000000	315.866   	60.000000	256.116   	60.000000	320.226   	
65.000000	30363.5   	65.000000	29645.3   	65.000000	29950.9   	65.000000	29964.5   	65.000000	404.208   	65.000000	206.892   	65.000000	361.367   	65.000000	291.537   	65.000000	366.639   	
70.000000	34495.6   	70.000000	33723.4   	70.000000	34036.2   	70.000000	34052.7   	70.000000	458.787   	70.000000	233.173   	70.000000	409.332   	70.000000	328.745   	70.000000	415.647   	
75.000000	38843.4   	75.000000	38021.7   	75.000000	38339.1   	75.000000	38358.7   	75.000000	516.098   	75.000000	260.603   	75.000000	459.682   	75.000000	367.683   	75.000000	467.179   	
80.000000	43401.7   	80.000000	42534.8   	80.000000	42854.5   	80.000000	42877.2   	80.000000	576.044   	80.000000	289.16    	80.000000	512.339   	80.000000	408.296   	80.000000	521.166   	
85.000000	48165.4   	85.000000	47257.4   	85.000000	47577.3   	85.000000	47603.3   	85.000000	638.533   	85.000000	318.811   	85.000000	567.231   	85.000000	450.533   	85.000000	577.545   	
90.000000	53130     	90.000000	52184.5   	90.000000	52503     	90.000000	52532.4   	90.000000	703.48    	90.000000	349.51    	90.000000	624.287   	90.000000	494.346   	90.000000	636.253   	
95.000000	58291     	95.000000	57311.5   	95.000000	57626.6   	95.000000	57659.8   	95.000000	770.78    	95.000000	381.197   	95.000000	683.432   	95.000000	539.682   	95.000000	697.222   	
100.000000	63644.4   	100.000000	62633.8   	100.000000	62943.7   	100.000000	62981.5   	100.000000	840.357   	100.000000	413.846   	100.000000	744.601   	100.000000	586.497   	100.000000	760.396   	
105.000000	69186.2   	105.000000	68146.9   	105.000000	68450.8   	105.000000	68493.2   	105.000000	912.155   	105.000000	447.462   	105.000000	807.74    	105.000000	634.749   	105.000000	825.727   	
110.000000	74912.8   	110.000000	73846.7   	110.000000	74144     	110.000000	74191.1   	110.000000	986.097   	110.000000	482.014   	110.000000	872.789   	110.000000	684.402   	110.000000	893.162   	
