* Fitting the markers with func = [0]/x + pol6
*TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
   32              4         2         6       0.225392        11.5019      -0.618968      0.0140908    0.000288975   -1.02382e-05   -4.11951e-07    1.20068e-08
   32              5         3         6       0.313644        18.9434      -0.626188     0.00805145    0.000110374   -2.04842e-06   -5.43934e-08    8.99016e-10
   32              6         3         7     -0.0131945        20.3378      -0.635016     0.00810475    8.38235e-05   -1.70435e-06   -3.77468e-08    6.18472e-10
   32              7         3         8        2.08821        20.6709      -0.566652      0.0056766    9.55693e-05   -1.30244e-06   -3.82262e-08    5.61463e-10
   32              8         4         7        2.10102        26.8298       -0.48997     0.00185955    5.65509e-05    -1.9606e-07   -1.09677e-08    9.67034e-11
   32              9         4         9        0.17885        31.3658      -0.627531     0.00467364    6.07786e-05   -6.64344e-07   -1.53363e-08    1.85611e-10
   32             10         4        10       0.278363         32.596      -0.615268     0.00447735    5.67257e-05   -6.76933e-07   -1.46251e-08    1.90506e-10
   32             11         5        11       -1.13273        44.8488      -0.814053      0.0168843   -0.000282457   -7.26786e-07    9.08334e-08   -7.76616e-10
   33              0         1         1       0.596078        1.47716      -0.120011     -0.0262488    0.000684889    0.000538152    4.87798e-05   -1.09711e-05
   33              1         1         2       0.773102        1.96129      -0.108274     -0.0212246    7.55684e-05    0.000219334    1.76851e-05   -2.40708e-06
   33              2         1         3        1.49747        2.15523     -0.0855887     -0.0181565     2.0246e-05    0.000157581    1.15218e-05    -1.5251e-06
   33              3         2         4     0.00220419        9.70714      -0.630172      0.0169658    0.000372887   -1.68296e-05   -7.64653e-07    2.72215e-08
   33              4         2         6      -0.138451        11.2362      -0.574038       0.011312    0.000318429   -9.27846e-06   -4.49313e-07    1.29352e-08
   33              5         3         7      0.0952894        18.5612       -0.47684     0.00332013    9.29418e-05   -7.43155e-07   -3.29913e-08    4.21726e-10
   33              6         4         9       -1.11884        30.7382      -0.602807     0.00365954    7.01909e-05   -5.27433e-07   -1.64264e-08    1.74942e-10
   33              7         4        10        1.98389        31.0419      -0.533794     0.00219624    6.17236e-05   -2.73476e-07   -1.26219e-08    1.18172e-10
   33              8         5        11       0.424918        42.4087      -0.558063     0.00146868    5.28549e-05   -2.00636e-07   -9.90616e-09    9.68932e-11
   34              0         1         1       0.583656        1.54064     -0.0971245     -0.0271918    2.06725e-05    0.000455214    4.97985e-05   -7.75865e-06
   34              1         1         2       0.902895        1.96091       -0.10178     -0.0208917    0.000198098    0.000246486    1.95348e-05   -2.91599e-06
   34              2         1         3        1.21706        2.40016      -0.134148     -0.0175328    0.000397172    0.000169739    1.01574e-05   -1.47635e-06
   34              3         2         4        1.04607        9.03291      -0.498121     0.00863033    0.000367016   -7.55894e-06   -5.53329e-07    1.49051e-08
   34              4         2         6       0.579714        11.0907      -0.599291      0.0141879     0.00026541   -1.09709e-05   -4.14212e-07    1.31069e-08
   34              5         3         6        -1.3793        19.0081      -0.628391     0.00706954    0.000132305   -1.80935e-06   -6.11329e-08    9.11097e-10
   34              6         3         7       0.233503        19.5355      -0.602133     0.00735545    8.34669e-05   -1.57767e-06   -3.64598e-08    5.96881e-10
   34              7         4         7         2.4666        26.7376       -0.55427     0.00335767    6.63955e-05   -4.27176e-07   -1.46431e-08    1.40374e-10
