*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
75.000000	8510.98   	75.000000	8327.24   	75.000000	8354.55   	75.000000	8358.29   	75.000000	47.8926   	75.000000	24.2628   	75.000000	39.2831   	75.000000	34.1351   	75.000000	40.644
80.000000	9507.64   	80.000000	9314.01   	80.000000	9337.15   	80.000000	9343.37   	80.000000	53.4622   	80.000000	26.9274   	80.000000	43.7824   	80.000000	37.9028   	80.000000	45.354
85.000000	10549.2   	85.000000	10346.6   	85.000000	10365     	85.000000	10374     	85.000000	59.2686   	85.000000	29.6923   	85.000000	48.4735   	85.000000	41.822    	85.000000	50.2748
90.000000	11634.7   	90.000000	11423.9   	90.000000	11437     	90.000000	11449     	90.000000	65.3032   	90.000000	32.5566   	90.000000	53.3499   	90.000000	45.8879   	90.000000	55.4005
95.000000	12763.2   	95.000000	12544.9   	95.000000	12552.2   	95.000000	12567.5   	95.000000	71.5583   	95.000000	35.5169   	95.000000	58.406    	95.000000	50.096    	95.000000	60.726
100.000000	13933.7   	100.000000	13708.6   	100.000000	13709.7   	100.000000	13728.6   	100.000000	78.0261   	100.000000	38.5692   	100.000000	63.636    	100.000000	54.4422   	100.000000	66.2462
105.000000	15145.4   	105.000000	14914     	105.000000	14908.5   	105.000000	14931.3   	105.000000	84.6996   	105.000000	41.7095   	105.000000	69.0345   	105.000000	58.9225   	105.000000	71.956
110.000000	16397.5   	110.000000	16160.3   	110.000000	16147.8   	110.000000	16174.7   	110.000000	91.5718   	110.000000	44.9346   	110.000000	74.5965   	110.000000	63.5332   	110.000000	77.8511
115.000000	17689.3   	115.000000	17446.5   	115.000000	17426.7   	115.000000	17458.1   	115.000000	98.636    	115.000000	48.2448   	115.000000	80.3169   	115.000000	68.2706   	115.000000	83.9268
120.000000	19019.8   	120.000000	18771.7   	120.000000	18744.5   	120.000000	18780.7   	120.000000	105.886   	120.000000	51.6373   	120.000000	86.191    	120.000000	73.1313   	120.000000	90.1788
125.000000	20388.6   	125.000000	20135.3   	125.000000	20100.5   	125.000000	20141.5   	125.000000	113.319   	125.000000	55.1088   	125.000000	92.2155   	125.000000	78.1129   	125.000000	96.6043
