*EntryIndex         SSDNum     CHNum   ECh_Cut       ECh
38700              3         8   85.0236       127
38700              3         9   119.005       164
38700              3        10   114.462       158
38700              3        11    94.393       137
38700              3        12   100.569       143
38700              3        13   121.802       162
38700              3        14   113.862       154
38700              3        15    124.42       162
38700              3        16   109.747       140
38800              2         7   78.1233       861
38900              1        14   110.452       352
38900              2         7   78.1233       414
38900              3        13   121.802       561
39000              2        11   110.194       118
39000              3         5   129.761       152
39100              4         6   137.113      1751
39200              3         1   114.034      3372
39200              3         2   101.445      1283
39200              3         3   120.387      1120
39200              3         4   119.489      1000
39200              3         5   129.761       981
39200              3         6    71.929      1015
39200              3         7   103.528      1138
39200              3         8   85.0236       824
39200              3         9   119.005       833
39200              3        10   114.462       817
39200              3        11    94.393       815
39200              3        12   100.569       913
39200              3        13   121.802      1105
39200              3        14   113.862      1077
39200              3        15    124.42      1358
39200              3        16   109.747      3033
39300              3         1   114.034      3033
39300              3         2   101.445      1213
39300              3         3   120.387      1054
39300              3         4   119.489       939
39300              3         5   129.761       917
39300              3         6    71.929       942
39300              3         7   103.528      1057
39300              3         8   85.0236       762
39300              3         9   119.005       775
39300              3        10   114.462       762
39300              3        11    94.393       759
39300              3        12   100.569       851
39300              3        13   121.802      1032
39300              3        14   113.862      1011
39300              3        15    124.42      1275
39300              3        16   109.747      2706
39500              3         1   114.034       328
39500              4         4   103.428      1005
39600              3         5   129.761       507
39600              3        12   100.569       380
39700              2         5    79.497       460
39700              4         6   137.113       441
39800              1        15    155.39       843
39800              3        10   114.462       999
39900              1         5   95.8393       203
39900              2         8   73.6897       134
39900              3        10   114.462       172
39900              4         1   132.578       392
40000              1         4   80.3077       102
40000              2        13   117.267       570
40000              2        14   93.2145       222
40000              3         6    71.929        90
40300              2         3   102.754       864
40300              2         5    79.497       189
40300              4         7   126.957      3178
40300              4         9   143.887      1126
40400              1         5   95.8393       174
40400              1        11   118.457       291
40600              2        11   110.194       328
40600              4         5   135.466       223
40700              2         5    79.497       518
40700              2        15   89.7282      3900
40800              1        14   110.452       753
40800              2         3   102.754      3359
40800              3         7   103.528       396
40800              4         1   132.578       213
41000              4         8   170.329       240
41100              1        13   91.8378       314
41100              2         1   141.968       187
41100              3         1   114.034       466
41100              3         2   101.445       979
