* ssdnum    stripb    stripf    th_standard (mm)   th_effective (mm)
    2         8         9          0.526             0.52618
    2         8        10          0.526            0.526467
    2         8        11          0.526            0.526897
    2         8        12          0.526            0.527471
    2         8        13          0.526            0.528187
    2         8        14          0.526            0.529045
    2         8        15          0.526            0.530044
    2         9         0          0.526            0.530187
    2         9         1          0.526            0.529188
    2         9         2          0.526             0.52833
    2         9         3          0.526            0.527614
    2         9         4          0.526            0.527041
    2         9         5          0.526             0.52661
    2         9         6          0.526            0.526323
    2         9         7          0.526             0.52618
    2         9         8          0.526             0.52618
    2         9         9          0.526            0.526323
    2         9        10          0.526             0.52661
    2         9        11          0.526            0.527041
    2         9        12          0.526            0.527614
    2         9        13          0.526             0.52833
    2         9        14          0.526            0.529188
    2         9        15          0.526            0.530187
    2        10         0          0.526            0.530472
    2        10         1          0.526            0.529473
    2        10         2          0.526            0.528616
    2        10         3          0.526            0.527901
    2        10         4          0.526            0.527328
    2        10         5          0.526            0.526897
    2        10         6          0.526             0.52661
    2        10         7          0.526            0.526467
    2        10         8          0.526            0.526467
    2        10         9          0.526             0.52661
    2        10        10          0.526            0.526897
    2        10        11          0.526            0.527328
    2        10        12          0.526            0.527901
    2        10        13          0.526            0.528616
    2        10        14          0.526            0.529473
    2        10        15          0.526            0.530472
    2        11         0          0.526            0.530899
    2        11         1          0.526            0.529902
    2        11         2          0.526            0.529045
    2        11         3          0.526             0.52833
    2        11         4          0.526            0.527757
    2        11         5          0.526            0.527328
    2        11         6          0.526            0.527041
    2        11         7          0.526            0.526897
    2        11         8          0.526            0.526897
    2        11         9          0.526            0.527041
    2        11        10          0.526            0.527328
    2        11        11          0.526            0.527757
    2        11        12          0.526             0.52833
    2        11        13          0.526            0.529045
    2        11        14          0.526            0.529902
    2        11        15          0.526            0.530899
    2        12         0          0.526            0.531468
    2        12         1          0.526            0.530472
    2        12         2          0.526            0.529616
    2        12         3          0.526            0.528902
    2        12         4          0.526             0.52833
    2        12         5          0.526            0.527901
    2        12         6          0.526            0.527614
    2        12         7          0.526            0.527471
    2        12         8          0.526            0.527471
    2        12         9          0.526            0.527614
    2        12        10          0.526            0.527901
    2        12        11          0.526             0.52833
    2        12        12          0.526            0.528902
    2        12        13          0.526            0.529616
    2        12        14          0.526            0.530472
    2        12        15          0.526            0.531468
    2        13         0          0.526            0.532179
    2        13         1          0.526            0.531184
    2        13         2          0.526            0.530329
    2        13         3          0.526            0.529616
    2        13         4          0.526            0.529045
    2        13         5          0.526            0.528616
    2        13         6          0.526             0.52833
    2        13         7          0.526            0.528187
    2        13         8          0.526            0.528187
    2        13         9          0.526             0.52833
    2        13        10          0.526            0.528616
    2        13        11          0.526            0.529045
    2        13        12          0.526            0.529616
    2        13        13          0.526            0.530329
    2        13        14          0.526            0.531184
    2        13        15          0.526            0.532179
    2        14         0          0.526            0.533031
    2        14         1          0.526            0.532037
    2        14         2          0.526            0.531184
    2        14         3          0.526            0.530472
    2        14         4          0.526            0.529902
    2        14         5          0.526            0.529473
    2        14         6          0.526            0.529188
    2        14         7          0.526            0.529045
    2        14         8          0.526            0.529045
    2        14         9          0.526            0.529188
    2        14        10          0.526            0.529473
    2        14        11          0.526            0.529902
    2        14        12          0.526            0.530472
    2        14        13          0.526            0.531184
    2        14        14          0.526            0.532037
    2        14        15          0.526            0.533031
    2        15         0          0.526            0.534022
    2        15         1          0.526            0.533031
    2        15         2          0.526            0.532179
    2        15         3          0.526            0.531468
    2        15         4          0.526            0.530899
    2        15         5          0.526            0.530472
    2        15         6          0.526            0.530187
    2        15         7          0.526            0.530044
    2        15         8          0.526            0.530044
    2        15         9          0.526            0.530187
    2        15        10          0.526            0.530472
    2        15        11          0.526            0.530899
    2        15        12          0.526            0.531468
    2        15        13          0.526            0.532179
    2        15        14          0.526            0.533031
    2        15        15          0.526            0.534022
    3         0         0          0.306            0.314204
    3         0         1          0.306            0.313195
    3         0         2          0.306            0.312327
    3         0         3          0.306            0.311602
    3         0         4          0.306            0.311021
    3         0         5          0.306            0.310585
    3         0         6          0.306            0.310293
    3         0         7          0.306            0.310147
    3         0         8          0.306            0.310147
    3         0         9          0.306            0.310293
    3         0        10          0.306            0.310585
    3         0        11          0.306            0.311021
    3         0        12          0.306            0.311602
    3         0        13          0.306            0.312327
    3         0        14          0.306            0.313195
    3         0        15          0.306            0.314204
    3         1         0          0.306            0.313195
    3         1         1          0.306            0.312182
    3         1         2          0.306            0.311312
    3         1         3          0.306            0.310585
    3         1         4          0.306            0.310002
    3         1         5          0.306            0.309564
    3         1         6          0.306            0.309271
    3         1         7          0.306            0.309125
    3         1         8          0.306            0.309125
    3         1         9          0.306            0.309271
    3         1        10          0.306            0.309564
    3         1        11          0.306            0.310002
    3         1        12          0.306            0.310585
    3         1        13          0.306            0.311312
    3         1        14          0.306            0.312182
    3         1        15          0.306            0.313195
    3         2         0          0.306            0.312327
    3         2         1          0.306            0.311312
    3         2         2          0.306            0.310439
    3         2         3          0.306             0.30971
    3         2         4          0.306            0.309125
    3         2         5          0.306            0.308686
    3         2         6          0.306            0.308393
    3         2         7          0.306            0.308246
    3         2         8          0.306            0.308246
    3         2         9          0.306            0.308393
    3         2        10          0.306            0.308686
    3         2        11          0.306            0.309125
    3         2        12          0.306             0.30971
    3         2        13          0.306            0.310439
    3         2        14          0.306            0.311312
    3         2        15          0.306            0.312327
    3         3         0          0.306            0.311602
    3         3         1          0.306            0.310585
    3         3         2          0.306             0.30971
    3         3         3          0.306            0.308979
    3         3         4          0.306            0.308393
    3         3         5          0.306            0.307952
    3         3         6          0.306            0.307658
    3         3         7          0.306            0.307511
    3         3         8          0.306            0.307511
    3         3         9          0.306            0.307658
    3         3        10          0.306            0.307952
    3         3        11          0.306            0.308393
    3         3        12          0.306            0.308979
    3         3        13          0.306             0.30971
    3         3        14          0.306            0.310585
    3         3        15          0.306            0.311602
    3         4         0          0.306            0.311021
    3         4         1          0.306            0.310002
    3         4         2          0.306            0.309125
    3         4         3          0.306            0.308393
    3         4         4          0.306            0.307805
    3         4         5          0.306            0.307364
    3         4         6          0.306             0.30707
    3         4         7          0.306            0.306922
    3         4         8          0.306            0.306922
    3         4         9          0.306             0.30707
    3         4        10          0.306            0.307364
    3         4        11          0.306            0.307805
    3         4        12          0.306            0.308393
    3         4        13          0.306            0.309125
    3         4        14          0.306            0.310002
    3         4        15          0.306            0.311021
    3         5         0          0.306            0.310585
    3         5         1          0.306            0.309564
    3         5         2          0.306            0.308686
    3         5         3          0.306            0.307952
    3         5         4          0.306            0.307364
    3         5         5          0.306            0.306922
    3         5         6          0.306            0.306628
    3         5         7          0.306             0.30648
    3         5         8          0.306             0.30648
    3         5         9          0.306            0.306628
    3         5        10          0.306            0.306922
    3         5        11          0.306            0.307364
    3         5        12          0.306            0.307952
    3         5        13          0.306            0.308686
    3         5        14          0.306            0.309564
    3         5        15          0.306            0.310585
