* set the ECsI cut range for all the isotopes by hand
* numtel = ssdindex * 9 + csiindex
* numtel        Z           A      ECsI_Ch_Min    ECsI_Ch_Max
    32          5          11         600           3000
    32          5          12         600           3000
    33          1           1         140           1500
    33          1           2         140           2000
    33          1           3         140           2500
    33          2           3         140           2700
    33          2           4         140           3200
    33          2           6         140           3000
    33          3           6         140           3300
    33          3           7         140           3300
    33          3           8         140           3300
    33          3           9         140           3300
    33          4           7         140           3500
    33          4           9         140           3500
    33          4          10         140           3500
    33          5          10         530           3000
    33          5          11         530           3000
    33          5          12         530           3000
    34          1           1         120           1300
    34          1           2         120           1800
    34          1           3         120           2500
    34          2           3         120           2600
    34          2           4         120           3300
    34          2           6         120           3000
    34          3           6         120           3200
    34          3           7         120           3200
    34          3           8         120           3200
    34          3           9         120           3200
    34          4           7         120           3000
    34          4           9         120           3000
    34          4          10         120           3000
    34          5          10         520           3000
    34          5          11         520           3000
    34          5          12         520           3000
    35          1           1         160           1300
    35          1           2         160           1800
    35          1           3         160           2300
    35          2           3         160           2500
    35          2           4         160           3300
    35          2           6         160           3000
    35          3           6         160           3200
    35          3           7         160           3200
    35          3           8         160           3200
    35          3           9         160           3200
    35          4           7         160           3000
    35          4           9         160           3000
    35          4          10         160           3000
    35          5          10         650           2500
    35          5          11         650           2500
    35          5          12         650           2500
