* numtel = ssdindex * 9 + csiindex
* numtel      Z         A         ECsI_MeV        ECsI_Ch
    1         1         2        45.8379            984
    1         1         2        48.4216           1040
    1         1         2        50.9723           1096
    1         1         2        53.4905           1152
    1         1         2        55.9766           1208
    1         1         2        58.4314           1264
    1         1         2        60.8552           1320
    1         1         2        63.2485           1376
    1         1         2        65.6119           1432
    1         1         2        67.9459           1488
    1         1         2        70.2508           1544
    1         1         2        72.5273           1600
    1         1         2        74.7761           1656
    1         1         2        76.9971           1712
    1         1         2        79.1911           1768
    1         1         2        81.3585           1824
    1         1         2        83.4998           1880
    1         1         3        5.12913            200
    1         1         3        9.48822            280
    1         1         3        13.8334            360
    1         1         3        18.1709            440
    1         1         3        22.5488            520
    1         1         3        26.9461            600
    1         1         3        31.2695            680
    1         1         3        35.4726            760
    1         1         3        39.6177            840
    1         1         3        43.7051            920
    1         1         3        47.7354           1000
    1         1         3        51.7109           1080
    1         1         3        55.6334           1160
    1         1         3         59.504           1240
    1         1         3        63.3244           1320
    1         1         3        67.0956           1400
    1         1         3        70.8188           1480
    1         1         3        74.4949           1560
    1         1         3        78.1251           1640
    1         1         3        81.7104           1720
    1         1         3        85.2516           1800
    1         1         3        88.7495           1880
    1         1         3        92.2051           1960
    1         1         3        95.6188           2040
    1         1         3        98.9918           2120
    1         1         3        102.325           2200
    1         1         3        105.618           2280
    1         1         3        108.873           2360
    1         1         3         112.09           2440
    1         1         3        115.269           2520
    1         2         3         4.9957            200
    1         2         3        9.25946            280
    1         2         3        13.3784            360
    1         2         3        17.4328            440
    1         2         3        21.4519            520
    1         2         3         25.446            600
    1         2         3        29.4171            680
    1         2         3        33.3343            760
    1         2         3        37.2359            840
    1         2         3        41.1208            920
    1         2         3        44.9941           1000
    1         2         3         48.859           1080
    1         2         3        52.7181           1160
    1         2         3        56.5734           1240
    1         2         3        60.4269           1320
    1         2         3          64.28           1400
    1         2         3        68.1345           1480
    1         2         3        71.9914           1560
    1         2         3        75.8518           1640
    1         2         3         79.717           1720
    1         2         3        83.5875           1800
    1         2         3        87.4642           1880
    1         2         3        91.3482           1960
    1         2         3        95.2401           2040
    1         2         3        99.1404           2120
    1         2         3         103.05           2200
    1         2         3        106.968           2280
    1         2         3        110.897           2360
    1         2         3        114.837           2440
    1         2         3        118.788           2520
    1         2         4        4.57782            200
    1         2         4        10.6746            310
    1         2         4        16.4915            420
    1         2         4        22.1938            530
    1         2         4        27.8322            640
    1         2         4        33.4248            750
    1         2         4        38.9758            860
    1         2         4        44.4295            970
    1         2         4        49.8506           1080
    1         2         4         55.239           1190
    1         2         4        60.6038           1300
    1         2         4        65.9506           1410
    1         2         4         71.284           1520
    1         2         4         76.608           1630
    1         2         4        81.9259           1740
    1         2         4        87.2402           1850
    1         2         4        92.5539           1960
    1         2         4        97.8689           2070
    1         2         4        103.187           2180
    1         2         4        108.511           2290
    1         2         4        113.841           2400
    1         2         4         119.18           2510
    1         2         4        124.528           2620
    1         2         4        129.886           2730
    1         2         4        135.255           2840
    1         2         4        140.638           2950
    1         2         4        146.035           3060
    1         2         4        151.445           3170
    1         2         4         156.87           3280
    1         2         4        162.312           3390
    1         2         6        3.87215            200
    1         2         6        11.3999            326
    1         2         6        18.4537            452
    1         2         6        25.3077            578
    1         2         6        32.0389            704
    1         2         6         38.696            830
    1         2         6        45.2982            956
    1         2         6        51.8525           1082
    1         2         6        58.3613           1208
    1         2         6        64.7297           1334
    1         2         6        71.0581           1460
    1         2         6        77.3392           1586
    1         2         6        83.5871           1712
    1         2         6        89.8057           1838
    1         2         6        96.0007           1964
