*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
120.000000	57782.6   	120.000000	57338.6   	120.000000	58346.1   	120.000000	58379     	120.000000	1441.65   	120.000000	685.473   	120.000000	485.071   	120.000000	394.747   	120.000000	477.552
125.000000	62047.2   	125.000000	61588.6   	125.000000	62665     	125.000000	62700.9   	125.000000	1545.49   	125.000000	732.962   	125.000000	520.033   	125.000000	422.489   	125.000000	512.649
130.000000	66434.5   	130.000000	65959.8   	130.000000	67107.2   	130.000000	67146.3   	130.000000	1651.9    	130.000000	781.608   	130.000000	555.883   	130.000000	450.918   	130.000000	548.715
135.000000	70942.3   	135.000000	70449.9   	135.000000	71670.7   	135.000000	71712.9   	135.000000	1760.81   	135.000000	831.377   	135.000000	592.601   	135.000000	480.02    	135.000000	585.732
140.000000	75568.9   	140.000000	75056.6   	140.000000	76353.1   	140.000000	76398.4   	140.000000	1872.14   	140.000000	882.211   	140.000000	630.16    	140.000000	509.776   	140.000000	623.677
145.000000	80312.4   	145.000000	79777.6   	145.000000	81151.7   	145.000000	81200.9   	145.000000	1985.78   	145.000000	934.075   	145.000000	668.532   	145.000000	540.167   	145.000000	662.528
150.000000	85170.9   	150.000000	84610.9   	150.000000	86064.8   	150.000000	86118     	150.000000	2101.69   	150.000000	986.959   	150.000000	707.698   	150.000000	571.18    	150.000000	702.266
155.000000	90211.1   	155.000000	89554.4   	155.000000	91090.5   	155.000000	91147.9   	155.000000	2219.8    	155.000000	1040.85   	155.000000	747.639   	155.000000	602.803   	155.000000	742.876
160.000000	95360.6   	160.000000	94606.1   	160.000000	96226.9   	160.000000	96288.4   	160.000000	2340.05   	160.000000	1095.71   	160.000000	788.334   	160.000000	635.021   	160.000000	784.341
165.000000	100615    	165.000000	99764     	165.000000	101472    	165.000000	101538    	165.000000	2462.38   	165.000000	1151.54   	165.000000	829.761   	165.000000	667.819   	165.000000	826.64
170.000000	105973    	170.000000	105026    	170.000000	106824    	170.000000	106894    	170.000000	2586.71   	170.000000	1208.3    	170.000000	871.903   	170.000000	701.185   	170.000000	869.758
175.000000	111432    	175.000000	110391    	175.000000	112281    	175.000000	112355    	175.000000	2712.99   	175.000000	1265.94   	175.000000	914.737   	175.000000	735.104   	175.000000	913.678
180.000000	116991    	180.000000	115856    	180.000000	117841    	180.000000	117920    	180.000000	2841.16   	180.000000	1324.45   	180.000000	958.246   	180.000000	769.565   	180.000000	958.382
185.000000	122648    	185.000000	121421    	185.000000	123502    	185.000000	123586    	185.000000	2971.15   	185.000000	1383.85   	185.000000	1002.41   	185.000000	804.556   	185.000000	1003.86
190.000000	128401    	190.000000	127082    	190.000000	129263    	190.000000	129351    	190.000000	3102.92   	190.000000	1444.09   	190.000000	1047.22   	190.000000	840.063   	190.000000	1050.08
195.000000	134249    	195.000000	132840    	195.000000	135123    	195.000000	135215    	195.000000	3236.4    	195.000000	1505.13   	195.000000	1092.64   	195.000000	876.076   	195.000000	1097.05
200.000000	140191    	200.000000	138691    	200.000000	141078    	200.000000	141176    	200.000000	3371.56   	200.000000	1567      	200.000000	1138.68   	200.000000	912.583   	200.000000	1144.74
210.000000	152347    	210.000000	150669    	210.000000	153273    	210.000000	153380    	210.000000	3646.61   	210.000000	1693.11   	210.000000	1232.48   	210.000000	987.029   	210.000000	1242.22
220.000000	164859    	220.000000	163004    	220.000000	165833    	220.000000	165952    	220.000000	3927.65   	220.000000	1822.15   	220.000000	1328.51   	220.000000	1063.31   	220.000000	1342.41
