Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
90.000000	0.013524  	90.000000	0.0133352 	90.000000	0.0131384 	90.000000	0.0131156 	90.000000	0.0133298 	90.000000	5.39144e-06	
95.000000	0.012985  	95.000000	0.0128127 	95.000000	0.0126249 	95.000000	0.0126031 	95.000000	0.0128075 	95.000000	5.13082e-06	
100.000000	0.0124962 	100.000000	0.0123395 	100.000000	0.0121611 	100.000000	0.0121386 	100.000000	0.0123346 	100.000000	4.89514e-06	
105.000000	0.0120508 	105.000000	0.011909  	105.000000	0.011737  	105.000000	0.0117155 	105.000000	0.0119043 	105.000000	4.68093e-06	
110.000000	0.011643  	110.000000	0.0115155 	110.000000	0.0113504 	110.000000	0.0113284 	110.000000	0.011511  	110.000000	4.48535e-06	
115.000000	0.0112683 	115.000000	0.0111544 	115.000000	0.0109945 	115.000000	0.010973  	115.000000	0.0111501 	115.000000	4.30605e-06	
120.000000	0.0109226 	120.000000	0.0108219 	120.000000	0.0106667 	120.000000	0.0106454 	120.000000	0.0108177 	120.000000	4.14105e-06	
125.000000	0.0106026 	125.000000	0.0105146 	125.000000	0.0103641 	125.000000	0.0103424 	125.000000	0.0105106 	125.000000	3.98869e-06	
130.000000	0.0103055 	130.000000	0.0102298 	130.000000	0.0100824 	130.000000	0.0100615 	130.000000	0.0102259 	130.000000	3.84754e-06	
135.000000	0.0100288 	135.000000	0.00996506	135.000000	0.00982021	135.000000	0.00980016	135.000000	0.00996134	135.000000	3.71641e-06	
140.000000	0.00977054	140.000000	0.00971834	140.000000	0.00957672	140.000000	0.0095565 	140.000000	0.00971474	140.000000	3.59424e-06	
145.000000	0.00952876	145.000000	0.00948784	145.000000	0.00934917	145.000000	0.00932876	145.000000	0.00948436	145.000000	3.48014e-06	
150.000000	0.00930195	150.000000	0.009272  	150.000000	0.00913517	150.000000	0.00911542	150.000000	0.00926862	150.000000	3.37332e-06	
155.000000	0.0089826 	155.000000	0.00906946	155.000000	0.00893502	155.000000	0.00891515	155.000000	0.00906618	155.000000	3.27311e-06	
160.000000	0.00879541	160.000000	0.00887902	160.000000	0.00874684	160.000000	0.00872678	160.000000	0.00887584	160.000000	3.17889e-06	
165.000000	0.00861889	165.000000	0.00869962	165.000000	0.00856877	165.000000	0.00854929	165.000000	0.00869653	165.000000	3.09014e-06	
170.000000	0.00845215	170.000000	0.00853034	170.000000	0.00840118	170.000000	0.00838175	170.000000	0.00852733	170.000000	3.00639e-06	
175.000000	0.00829437	175.000000	0.00837032	175.000000	0.00824309	175.000000	0.00822336	175.000000	0.00836739	175.000000	2.92723e-06	
180.000000	0.00814485	180.000000	0.00821883	180.000000	0.00809286	180.000000	0.00807338	180.000000	0.00821598	180.000000	2.85228e-06	
