Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
21816.479964	1.36073e+07	1.69123e+07	2.4265e+07	2.43808e+07	32361.3   	97077.7   	13528.1   	14447.5   	21212.6   
21910.112921	1.36316e+07	1.69574e+07	2.43633e+07	2.44795e+07	32426.9   	97613.7   	13563.2   	14484     	21268.1   
22003.745878	1.36558e+07	1.70025e+07	2.44615e+07	2.45781e+07	32492.6   	98150.1   	13598.3   	14520.5   	21323.5   
22097.378835	1.36787e+07	1.70463e+07	2.45594e+07	2.46764e+07	32556.5   	98694.4   	13633     	14556.4   	21378.1   
22191.011792	1.37016e+07	1.709e+07 	2.46573e+07	2.47746e+07	32620.4   	99238.8   	13667.7   	14592.4   	21432.7   
22284.644749	1.37246e+07	1.71337e+07	2.47552e+07	2.48729e+07	32684.3   	99783.2   	13702.3   	14628.3   	21487.3   
22378.277706	1.37475e+07	1.71775e+07	2.4853e+07	2.49712e+07	32748.2   	100328    	13737     	14664.3   	21541.9   
22471.910663	1.37704e+07	1.72212e+07	2.49509e+07	2.50694e+07	32812.1   	100872    	13771.7   	14700.2   	21596.5   
22565.543620	1.37933e+07	1.72649e+07	2.50488e+07	2.51677e+07	32876     	101416    	13806.4   	14736.1   	21651.1   
22659.176577	1.38162e+07	1.73087e+07	2.51466e+07	2.52659e+07	32939.9   	101961    	13841     	14772.1   	21705.7   
22752.809534	1.38391e+07	1.73524e+07	2.52445e+07	2.53642e+07	33003.8   	102505    	13875.7   	14808     	21760.3   
22846.442491	1.38621e+07	1.73961e+07	2.53424e+07	2.54625e+07	33067.7   	103049    	13910.4   	14844     	21814.9   
22940.075448	1.3885e+07	1.74399e+07	2.54403e+07	2.55607e+07	33131.6   	103594    	13945.1   	14879.9   	21869.5   
23033.708404	1.39074e+07	1.74831e+07	2.5538e+07	2.56589e+07	33194.9   	104141    	13979.6   	14915.6   	21923.8   
23127.341361	1.39291e+07	1.75256e+07	2.56355e+07	2.57567e+07	33257.1   	104693    	14013.9   	14951     	21977.6   
23220.974318	1.39508e+07	1.7568e+07	2.5733e+07	2.58546e+07	33319.4   	105246    	14048.2   	14986.5   	22031.4   
23314.607275	1.39725e+07	1.76104e+07	2.58305e+07	2.59525e+07	33381.7   	105798    	14082.5   	15021.9   	22085.2   
23408.240232	1.39942e+07	1.76528e+07	2.5928e+07	2.60504e+07	33443.9   	106350    	14116.8   	15057.3   	22139     
23501.873189	1.40158e+07	1.76952e+07	2.60255e+07	2.61483e+07	33506.2   	106903    	14151     	15092.7   	22192.9   
23595.506146	1.40375e+07	1.77376e+07	2.6123e+07	2.62461e+07	33568.4   	107455    	14185.3   	15128.1   	22246.7   
23689.139103	1.40592e+07	1.778e+07 	2.62205e+07	2.6344e+07	33630.7   	108007    	14219.6   	15163.5   	22300.5   
23782.772060	1.40809e+07	1.78225e+07	2.6318e+07	2.64419e+07	33692.9   	108560    	14253.9   	15198.9   	22354.3   
23876.405017	1.41025e+07	1.78649e+07	2.64155e+07	2.65398e+07	33755.2   	109112    	14288.2   	15234.3   	22408.1   
23970.037974	1.41242e+07	1.79073e+07	2.6513e+07	2.66377e+07	33817.4   	109664    	14322.5   	15269.7   	22461.9   
24063.670931	1.41451e+07	1.79489e+07	2.66102e+07	2.67353e+07	33878.6   	110222    	14356.5   	15304.8   	22515.2   
24157.303888	1.41656e+07	1.799e+07 	2.67074e+07	2.68328e+07	33939.4   	110782    	14390.5   	15339.7   	22568.3   
