Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
200.000000	0.00458451	200.000000	0.00529577	200.000000	0.00527818	200.000000	0.00526644	200.000000	0.00529392	200.000000	1.84872e-06	
210.000000	0.00444725	210.000000	0.00513455	210.000000	0.005116  	210.000000	0.0051046 	210.000000	0.00513278	210.000000	1.76711e-06	
220.000000	0.0043218 	220.000000	0.00498753	220.000000	0.00496858	220.000000	0.00495706	220.000000	0.00498584	220.000000	1.69262e-06	
230.000000	0.00420668	230.000000	0.00485293	230.000000	0.00483333	230.000000	0.00482202	230.000000	0.0048513 	230.000000	1.62437e-06	
240.000000	0.00410067	240.000000	0.00472923	240.000000	0.00470882	240.000000	0.00469797	240.000000	0.00472766	240.000000	1.56159e-06	
250.000000	0.00400272	250.000000	0.00461517	250.000000	0.00459454	250.000000	0.00458363	250.000000	0.00461366	250.000000	1.50364e-06	
260.000000	0.00391194	260.000000	0.00450967	260.000000	0.00448879	260.000000	0.00447793	260.000000	0.00450822	260.000000	1.44997e-06	
270.000000	0.00382756	270.000000	0.00441181	270.000000	0.00439056	270.000000	0.00437993	270.000000	0.00441041	270.000000	1.40013e-06	
280.000000	0.00374894	280.000000	0.00432081	280.000000	0.00429963	280.000000	0.00428884	280.000000	0.00431945	280.000000	1.35371e-06	
290.000000	0.00367551	290.000000	0.00423596	290.000000	0.00421457	290.000000	0.00420396	290.000000	0.00423465	290.000000	1.31038e-06	
300.000000	0.00360676	300.000000	0.00415668	300.000000	0.00413497	300.000000	0.0041247 	300.000000	0.00415541	300.000000	1.26982e-06	
310.000000	0.00354228	310.000000	0.00408244	310.000000	0.00406067	310.000000	0.00405052	310.000000	0.00408121	310.000000	1.23178e-06	
320.000000	0.00348166	320.000000	0.00401278	320.000000	0.00399124	320.000000	0.00398096	320.000000	0.00401159	320.000000	1.19603e-06	
330.000000	0.00342459	330.000000	0.00394731	330.000000	0.00392584	330.000000	0.00391562	330.000000	0.00394614	330.000000	1.16236e-06	
340.000000	0.00337077	340.000000	0.00388565	340.000000	0.0038641 	340.000000	0.00385414	340.000000	0.00388452	340.000000	1.1306e-06	
350.000000	0.00331992	350.000000	0.0038275 	350.000000	0.00380593	350.000000	0.00379619	350.000000	0.0038264 	350.000000	1.10058e-06	
360.000000	0.00327181	360.000000	0.00377258	360.000000	0.00375123	360.000000	0.00374149	360.000000	0.00377151	360.000000	1.07217e-06	
370.000000	0.00322623	370.000000	0.00372062	370.000000	0.00369934	370.000000	0.0036895 	370.000000	0.00371957	370.000000	1.04524e-06	
380.000000	0.00318299	380.000000	0.0036714 	380.000000	0.00365002	380.000000	0.00364028	380.000000	0.00367038	380.000000	1.01967e-06	
390.000000	0.00314192	390.000000	0.00362472	390.000000	0.0036032 	390.000000	0.00359363	390.000000	0.00362372	390.000000	9.95369e-07	
400.000000	0.00310287	400.000000	0.00358038	400.000000	0.00355896	400.000000	0.00354935	400.000000	0.00357941	400.000000	9.72234e-07	
410.000000	0.00306568	410.000000	0.00353824	410.000000	0.00351697	410.000000	0.00350729	410.000000	0.00353729	410.000000	9.50184e-07	
420.000000	0.00303025	420.000000	0.00349812	420.000000	0.00347689	420.000000	0.00346727	420.000000	0.00349719	420.000000	9.29146e-07	
430.000000	0.00299644	430.000000	0.0034599 	430.000000	0.00343863	430.000000	0.00342918	430.000000	0.00345899	430.000000	9.0905e-07	
440.000000	0.00296416	440.000000	0.00342345	440.000000	0.00340215	440.000000	0.00339287	440.000000	0.00342256	440.000000	8.89833e-07	
450.000000	0.0029333 	450.000000	0.00338866	450.000000	0.00336741	450.000000	0.00335822	450.000000	0.00338779	450.000000	8.71439e-07	
460.000000	0.00290379	460.000000	0.00335541	460.000000	0.00333434	460.000000	0.00332515	460.000000	0.00335456	460.000000	8.53814e-07	
470.000000	0.00287553	470.000000	0.00332362	470.000000	0.0033028 	470.000000	0.00329354	470.000000	0.00332278	470.000000	8.36912e-07	
480.000000	0.00284845	480.000000	0.00329319	480.000000	0.00327258	480.000000	0.0032633 	480.000000	0.00329237	480.000000	8.20688e-07	
490.000000	0.0028225 	490.000000	0.00326405	490.000000	0.00324356	490.000000	0.00323436	490.000000	0.00326325	490.000000	8.05102e-07	
500.000000	0.00279759	500.000000	0.00323612	500.000000	0.00321571	500.000000	0.00320664	500.000000	0.00323533	500.000000	7.90116e-07	
520.000000	0.00275069	520.000000	0.00318361	520.000000	0.0031634 	520.000000	0.00315456	520.000000	0.00318285	520.000000	7.61811e-07	
540.000000	0.00270735	540.000000	0.00313518	540.000000	0.00311544	540.000000	0.00310658	540.000000	0.00313445	540.000000	7.35526e-07	
560.000000	0.0026672 	560.000000	0.0030904 	560.000000	0.00307116	560.000000	0.00306226	560.000000	0.00308968	560.000000	7.11052e-07	
580.000000	0.00262993	580.000000	0.00304889	580.000000	0.00302995	580.000000	0.00302122	580.000000	0.0030482 	580.000000	6.88204e-07	
600.000000	0.00259527	600.000000	0.00301035	600.000000	0.00299185	600.000000	0.00298313	600.000000	0.00300968	600.000000	6.66825e-07	
620.000000	0.00256297	620.000000	0.00297448	620.000000	0.00295652	620.000000	0.00294773	620.000000	0.00297384	620.000000	6.46776e-07	
640.000000	0.00253282	640.000000	0.00294106	640.000000	0.00292346	640.000000	0.00291475	640.000000	0.00294043	640.000000	6.27934e-07	
660.000000	0.00250465	660.000000	0.00290986	660.000000	0.00289252	660.000000	0.00288397	660.000000	0.00290925	660.000000	6.10194e-07	
680.000000	0.00247828	680.000000	0.00288068	680.000000	0.00286362	680.000000	0.00285521	680.000000	0.00288009	680.000000	5.9346e-07	
700.000000	0.00245357	700.000000	0.00285337	700.000000	0.00283666	700.000000	0.00282829	700.000000	0.00285279	700.000000	5.77648e-07	
720.000000	0.00243038	720.000000	0.00282777	720.000000	0.00281148	720.000000	0.00280306	720.000000	0.0028272 	720.000000	5.62683e-07	
740.000000	0.00240861	740.000000	0.00280374	740.000000	0.00278783	740.000000	0.00277937	740.000000	0.00280319	740.000000	5.48498e-07	
760.000000	0.00238814	760.000000	0.00278116	760.000000	0.00276551	760.000000	0.00275712	760.000000	0.00278063	760.000000	5.35034e-07	
780.000000	0.00236888	780.000000	0.00275993	780.000000	0.00274446	780.000000	0.00273617	780.000000	0.00275941	780.000000	5.22235e-07	
800.000000	0.00235075	800.000000	0.00273994	800.000000	0.00272462	800.000000	0.00271645	800.000000	0.00273943	800.000000	5.10053e-07	
820.000000	0.00233366	820.000000	0.00272111	820.000000	0.00270594	820.000000	0.00269785	820.000000	0.00272061	820.000000	4.98445e-07	
840.000000	0.00231755	840.000000	0.00270336	840.000000	0.00268836	840.000000	0.0026803 	840.000000	0.00270287	840.000000	4.8737e-07	
860.000000	0.00230235	860.000000	0.00268661	860.000000	0.00267181	860.000000	0.00266372	860.000000	0.00268613	860.000000	4.76791e-07	
880.000000	0.002288  	880.000000	0.00267079	880.000000	0.00265618	880.000000	0.00264804	880.000000	0.00267032	880.000000	4.66677e-07	
900.000000	0.00227445	900.000000	0.00265585	900.000000	0.00264135	900.000000	0.0026332 	900.000000	0.00265539	900.000000	4.56996e-07	
920.000000	0.00226165	920.000000	0.00264173	920.000000	0.00262726	920.000000	0.00261915	920.000000	0.00264128	920.000000	4.47721e-07	
940.000000	0.00224956	940.000000	0.00262837	940.000000	0.00261387	940.000000	0.00260584	940.000000	0.00262793	940.000000	4.38827e-07	
960.000000	0.00223813	960.000000	0.00261574	960.000000	0.00260116	960.000000	0.00259321	960.000000	0.00261531	960.000000	4.30291e-07	
980.000000	0.00222733	980.000000	0.00260378	980.000000	0.0025891 	980.000000	0.00258123	980.000000	0.00260336	980.000000	4.22091e-07	
1000.000000	0.00221711	1000.000000	0.00259247	1000.000000	0.00257767	1000.000000	0.00256985	1000.000000	0.00259205	1000.000000	4.14207e-07	
1020.000000	0.00220746	1020.000000	0.00258175	1020.000000	0.00256682	1020.000000	0.00255904	1020.000000	0.00258134	1020.000000	4.06622e-07	
1040.000000	0.00219833	1040.000000	0.0025716 	1040.000000	0.00255655	1040.000000	0.00254876	1040.000000	0.0025712 	1040.000000	3.99318e-07	
1060.000000	0.0021897 	1060.000000	0.00256199	1060.000000	0.0025468 	1060.000000	0.00253899	1060.000000	0.0025616 	1060.000000	3.9228e-07	
1080.000000	0.00218154	1080.000000	0.00255288	1080.000000	0.00253753	1080.000000	0.00252969	1080.000000	0.0025525 	1080.000000	3.85494e-07	
1100.000000	0.00217383	1100.000000	0.00254426	1100.000000	0.0025287 	1100.000000	0.00252083	1100.000000	0.00254388	1100.000000	3.78946e-07	
1120.000000	0.00216655	1120.000000	0.00253608	1120.000000	0.00252025	1120.000000	0.0025124 	1120.000000	0.00253571	1120.000000	3.72623e-07	
1140.000000	0.00215968	1140.000000	0.00252834	1140.000000	0.00251218	1140.000000	0.00250436	1140.000000	0.00252797	1140.000000	3.66515e-07	
1160.000000	0.00215319	1160.000000	0.00252101	1160.000000	0.00250447	1160.000000	0.0024967 	1160.000000	0.00252065	1160.000000	3.6061e-07	
1180.000000	0.00214706	1180.000000	0.00251407	1180.000000	0.00249712	1180.000000	0.0024894 	1180.000000	0.00251371	1180.000000	3.54898e-07	
1200.000000	0.00214129	1200.000000	0.00250749	1200.000000	0.00249013	1200.000000	0.00248243	1200.000000	0.00250714	1200.000000	3.4937e-07	
1220.000000	0.00213585	1220.000000	0.00250127	1220.000000	0.00248348	1220.000000	0.00247579	1220.000000	0.00250093	1220.000000	3.44017e-07	
1240.000000	0.00213073	1240.000000	0.00249538	1240.000000	0.00247715	1240.000000	0.00246945	1240.000000	0.00249504	1240.000000	3.38831e-07	
1260.000000	0.00212592	1260.000000	0.00248981	1260.000000	0.00247111	1260.000000	0.00246339	1260.000000	0.00248948	1260.000000	3.33803e-07	
