* numtel = ssdindex * 9 + csiindex
* numtel      Z         A         ECsI_MeV        ECsI_Ch
    1         3         7        4.17164            200
    1         3         7        15.1796            335
    1         3         7        24.5799            470
    1         3         7        33.3429            605
    1         3         7        41.6982            740
    1         3         7        49.7321            875
    1         3         7        57.4705           1010
    1         3         7        64.9465           1145
    1         3         7         72.153           1280
    1         3         7        79.1375           1415
    1         3         7        85.9823           1550
    1         3         7        92.7297           1685
    1         3         7         99.434           1820
    1         3         7        106.138           1955
