*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
70.000000	11456.1   	70.000000	11188     	70.000000	11259.2   	70.000000	11267.8   	70.000000	87.689    	70.000000	44.6276   	70.000000	73.7156   	70.000000	62.8062   	70.000000	75.7781
75.000000	12898.8   	75.000000	12614.3   	75.000000	12683.3   	75.000000	12694.3   	75.000000	98.6559   	75.000000	49.8869   	75.000000	82.7905   	75.000000	70.2497   	75.000000	85.2006
80.000000	14411.4   	80.000000	14111.8   	80.000000	14177.7   	80.000000	14191.5   	80.000000	110.128   	80.000000	55.3635   	80.000000	92.2823   	80.000000	78.0142   	80.000000	95.0752
85.000000	15992.2   	85.000000	15678.9   	85.000000	15740.9   	85.000000	15757.7   	85.000000	122.086   	85.000000	61.0463   	85.000000	102.177   	85.000000	86.0896   	85.000000	105.389
90.000000	17639.6   	90.000000	17313.9   	90.000000	17371.2   	90.000000	17391.2   	90.000000	134.514   	90.000000	66.9295   	90.000000	112.463   	90.000000	94.4666   	90.000000	116.132
95.000000	19352.2   	95.000000	19015.2   	95.000000	19067.2   	95.000000	19090.7   	95.000000	147.396   	95.000000	73.0073   	95.000000	123.126   	95.000000	103.136   	95.000000	127.292
100.000000	21128.6   	100.000000	20781.2   	100.000000	20827.5   	100.000000	20854.7   	100.000000	160.716   	100.000000	79.2742   	100.000000	134.157   	100.000000	112.09    	100.000000	138.859
105.000000	22967.6   	105.000000	22610.6   	105.000000	22650.6   	105.000000	22681.8   	105.000000	174.46    	105.000000	85.7247   	105.000000	145.542   	105.000000	121.319   	105.000000	150.822
110.000000	24867.8   	110.000000	24502     	110.000000	24535.4   	110.000000	24570.7   	110.000000	188.614   	110.000000	92.355    	110.000000	157.272   	110.000000	130.817   	110.000000	163.173
115.000000	26828.2   	115.000000	26453.9   	115.000000	26480.4   	115.000000	26520.1   	115.000000	203.162   	115.000000	99.157    	115.000000	169.336   	115.000000	140.576   	115.000000	175.9
120.000000	28847.6   	120.000000	28465.2   	120.000000	28484.6   	120.000000	28528.9   	120.000000	218.096   	120.000000	106.124   	120.000000	181.725   	120.000000	150.589   	120.000000	188.998
125.000000	30924.9   	125.000000	30534.6   	125.000000	30546.6   	125.000000	30595.9   	125.000000	233.398   	125.000000	113.256   	125.000000	194.427   	125.000000	160.849   	125.000000	202.455
130.000000	33059.1   	130.000000	32660.8   	130.000000	32665.4   	130.000000	32719.9   	130.000000	249.058   	130.000000	120.545   	130.000000	207.435   	130.000000	171.349   	130.000000	216.264
135.000000	35249.2   	135.000000	34842.6   	135.000000	34840     	135.000000	34899.8   	135.000000	265.07    	135.000000	127.988   	135.000000	220.741   	135.000000	182.086   	135.000000	230.418
140.000000	37494.2   	140.000000	37079.1   	140.000000	37069.4   	140.000000	37134.5   	140.000000	281.419   	140.000000	135.579   	140.000000	234.336   	140.000000	193.051   	140.000000	244.909
145.000000	39793.3   	145.000000	39369.1   	145.000000	39352.3   	145.000000	39423.1   	145.000000	298.089   	145.000000	143.313   	145.000000	248.208   	145.000000	204.238   	145.000000	259.727
150.000000	42145.6   	150.000000	41711.5   	150.000000	41687.7   	150.000000	41764.5   	150.000000	315.075   	150.000000	151.189   	150.000000	262.353   	150.000000	215.642   	150.000000	274.867
155.000000	44584.3   	155.000000	44105.3   	155.000000	44074.9   	155.000000	44157.8   	155.000000	332.366   	155.000000	159.204   	155.000000	276.762   	155.000000	227.259   	155.000000	290.321
160.000000	47073.6   	160.000000	46549.5   	160.000000	46512.6   	160.000000	46601.9   	160.000000	349.948   	160.000000	167.352   	160.000000	291.426   	160.000000	239.081   	160.000000	306.081
165.000000	49611.5   	165.000000	49043.2   	165.000000	49000.1   	165.000000	49096     	165.000000	367.816   	165.000000	175.631   	165.000000	306.338   	165.000000	251.104   	165.000000	322.14
170.000000	52197     	170.000000	51585.4   	170.000000	51536.6   	170.000000	51639.2   	170.000000	385.961   	170.000000	184.041   	170.000000	321.494   	170.000000	263.325   	170.000000	338.495
175.000000	54829.3   	175.000000	54175.2   	175.000000	54121     	175.000000	54230.7   	175.000000	404.37    	175.000000	192.574   	175.000000	336.882   	175.000000	275.736   	175.000000	355.135
180.000000	57507.7   	180.000000	56811.8   	180.000000	56752.4   	180.000000	56869.4   	180.000000	423.036   	180.000000	201.231   	180.000000	352.498   	180.000000	288.333   	180.000000	372.055
185.000000	60231.2   	185.000000	59494.3   	185.000000	59430.3   	185.000000	59554.8   	185.000000	441.954   	185.000000	210.01    	185.000000	368.336   	185.000000	301.115   	185.000000	389.251
190.000000	62999.1   	190.000000	62221.8   	190.000000	62153.8   	190.000000	62285.8   	190.000000	461.118   	190.000000	218.903   	190.000000	384.391   	190.000000	314.074   	190.000000	406.717
195.000000	65810.7   	195.000000	64993.6   	195.000000	64922.2   	195.000000	65061.8   	195.000000	480.516   	195.000000	227.906   	195.000000	400.655   	195.000000	327.208   	195.000000	424.447
200.000000	68665.3   	200.000000	67808.8   	200.000000	67734.4   	200.000000	67881.9   	200.000000	500.138   	200.000000	237.021   	200.000000	417.122   	200.000000	340.512   	200.000000	442.433
210.000000	74500.3   	210.000000	73566.6   	210.000000	73487.7   	210.000000	73651.7   	210.000000	540.028   	210.000000	255.573   	210.000000	450.639   	210.000000	367.61    	210.000000	479.154
220.000000	80498.8   	220.000000	79489.4   	220.000000	79408.2   	220.000000	79589.4   	220.000000	580.739   	220.000000	274.529   	220.000000	484.902   	220.000000	395.342   	220.000000	516.84
230.000000	86655.6   	230.000000	85571.4   	230.000000	85490     	230.000000	85689.5   	230.000000	622.208   	230.000000	293.866   	230.000000	519.864   	230.000000	423.673   	230.000000	555.448
