*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG
160.000000	105974    	160.000000	104812    	160.000000	104853    	160.000000	104997    	160.000000	789.036   	160.000000	376.921   	160.000000	685.424   	160.000000	539.071   	160.000000	712.878
165.000000	111688    	165.000000	110427    	165.000000	110460    	165.000000	110614    	165.000000	829.321   	165.000000	395.568   	165.000000	720.494   	165.000000	566.178   	165.000000	750.228
170.000000	117510    	170.000000	116151    	170.000000	116177    	170.000000	116342    	170.000000	870.22    	170.000000	414.502   	170.000000	756.13    	170.000000	593.726   	170.000000	788.257
175.000000	123437    	175.000000	121982    	175.000000	122003    	175.000000	122178    	175.000000	911.724   	175.000000	433.722   	175.000000	792.319   	175.000000	621.707   	175.000000	826.952
180.000000	129467    	180.000000	127919    	180.000000	127935    	180.000000	128121    	180.000000	953.814   	180.000000	453.214   	180.000000	829.045   	180.000000	650.111   	180.000000	866.299
185.000000	135599    	185.000000	133959    	185.000000	133971    	185.000000	134169    	185.000000	996.471   	185.000000	472.965   	185.000000	866.294   	185.000000	678.927   	185.000000	906.285
190.000000	141832    	190.000000	140100    	190.000000	140111    	190.000000	140320    	190.000000	1039.68   	190.000000	492.979   	190.000000	904.05    	190.000000	708.147   	190.000000	946.896
195.000000	148162    	195.000000	146341    	195.000000	146351    	195.000000	146572    	195.000000	1083.41   	195.000000	513.255   	195.000000	942.299   	195.000000	737.758   	195.000000	988.117
200.000000	154590    	200.000000	152680    	200.000000	152690    	200.000000	152923    	200.000000	1127.65   	200.000000	533.773   	200.000000	981.023   	200.000000	767.751   	200.000000	1029.93
210.000000	167728    	210.000000	165644    	210.000000	165658    	210.000000	165917    	210.000000	1217.58   	210.000000	575.5     	210.000000	1059.84   	210.000000	828.844   	210.000000	1115.29
220.000000	181234    	220.000000	178980    	220.000000	179004    	220.000000	179289    	220.000000	1309.36   	220.000000	618.16    	220.000000	1140.42   	220.000000	891.366   	220.000000	1202.9
230.000000	195097    	230.000000	192674    	230.000000	192715    	230.000000	193026    	230.000000	1402.89   	230.000000	661.733   	230.000000	1222.65   	230.000000	955.251   	230.000000	1292.65
240.000000	209305    	240.000000	206715    	240.000000	206778    	240.000000	207117    	240.000000	1498.03   	240.000000	706.137   	240.000000	1306.45   	240.000000	1020.43   	240.000000	1384.45
250.000000	223848    	250.000000	221092    	250.000000	221181    	250.000000	221550    	250.000000	1594.65   	250.000000	751.332   	250.000000	1391.7    	250.000000	1086.84   	250.000000	1478.21
260.000000	238715    	260.000000	235792    	260.000000	235915    	260.000000	236314    	260.000000	1692.68   	260.000000	797.302   	260.000000	1478.34   	260.000000	1154.44   	260.000000	1573.85
270.000000	253898    	270.000000	250807    	270.000000	250970    	270.000000	251399    	270.000000	1792.03   	270.000000	844.02    	270.000000	1566.29   	270.000000	1223.16   	270.000000	1671.31
280.000000	269386    	280.000000	266125    	280.000000	266334    	280.000000	266795    	280.000000	1892.62   	280.000000	891.42    	280.000000	1655.48   	280.000000	1292.96   	280.000000	1770.49
290.000000	285172    	290.000000	281738    	290.000000	281999    	290.000000	282492    	290.000000	1994.33   	290.000000	939.479   	290.000000	1745.82   	290.000000	1363.78   	290.000000	1871.33
300.000000	301246    	300.000000	297637    	300.000000	297953    	300.000000	298481    	300.000000	2097.07   	300.000000	988.184   	300.000000	1837.24   	300.000000	1435.58   	300.000000	1973.75
310.000000	317602    	310.000000	313812    	310.000000	314190    	310.000000	314753    	310.000000	2200.79   	310.000000	1037.49   	310.000000	1929.68   	310.000000	1508.31   	310.000000	2077.69
